Docking Station Unique Name,Village Name,Terminal Location Easting X co-ordinate ,Terminal Location Y co-ordinate (Face A/B),Max docking points
Warwick Avenue Station,Maida Vale,526094.38,182055.16,16
Clifton Road,Maida Vale,526383.28,182310.54,22
West Smithfield Rotunda,Farringdon,531870.82,181631.408,16
Bouverie Street,Temple,531388.33,181129.55,18
Godliman Street,St. Paul's,532001.83,180996.72,25
Stonecutter Street,Holborn,531566.99,181355.5,14
Newgate Street ,St. Paul's,532013.51,181323.53,34
Golden Lane,Barbican,532298.79,182035.26,27
Museum of London,Barbican,532169.89,181594.98,52
Moorfields,Moorgate,532735.97,181748.6,27
Finsbury Circus,Liverpool Street,532852.76,181529.75,32
Queen Street,Bank,532434.82,180904.36,16
Cheapside,Bank,532415.73,181164.05,21
The Guildhall,Guildhall,532412.94,181369.17,17
Wood Street,Guildhall,532353.43,181509.24,16
Devonshire Square,Liverpool Street,533340.26,181474.99,16
Great Tower Street,Monument,533128.38,180803.6,16
Wormwood Street,Liverpool Street,533151.22,181435.12,17
Harewood Avenue,Marylebone,527484.48,181975.79,17
Grove End Road,St. John's Wood,526564.34,182906.36,20
Wellington Road,St. John's Wood,526852.57,183153.22,15
Lisson Grove,St. John's Wood,526894.33,182420.42,15
Mallory Street,Marylebone,527306.54,182275.31,17
Bell Street ,Marylebone,527339.64,181936.92,18
Lodge Road,St. John's Wood,527031.7,182634.5,16
Charlbert Street,St. John's Wood,527158.01,183300.75,16
Park Road (Baker Street),The Regent's Park,527817.25,182228.7,16
Dorset Square,Marylebone,527673.49,182011.34,16
Penfold Street,Marylebone,526939.5,182025.86,15
Prince Albert Road,The Regent's Park,527654.29,183490.4,24
Broadcasting House,Marylebone,528857.44,181542.87,18
Old Quebec Street,Marylebone,527897.26,181113.12,16
Marylebone Lane,Marylebone,528597.94,181162.61,24
Hinde Street,Marylebone,528327.06,181384.41,16
Chapel Place,Marylebone,528658.96,181225.18,29
Wells Street,Fitzrovia,529286.74,181467.67,38
Foley Street,Fitzrovia,529114.14,181667.74,24
Portland Place,Marylebone,528781.93,181829.97,34
Beaumont Street,Marylebone,528351.81,181962.95,23
Nutford Place,Marylebone,527462.88,181329.66,18
Crawford Street,Marylebone,527952.63,181758.37,16
Paddington Street,Marylebone,528123.95,181798.72,16
George Place Mews,Marylebone,527888.1,181382.08,16
Great Titchfield Street,Fitzrovia,529052.72,181785.42,16
St. Chad's Street,King's Cross,530436.76,182911.99,16
Cartwright Gardens ,Bloomsbury,530100.11,182491.47,16
Brunswick Square,Bloomsbury,530348.16,182230.04,24
Guilford Street ,Bloomsbury,530509.42,182166.89,38
Malet Street,Bloomsbury,529804.55,181963.45,40
Bayley Street ,Bloomsbury,529700.83,181616.6,16
Scala Street,Fitzrovia,529420.51,181757.11,16
Hampstead Road,Euston,529252.54,182379.06,54
Euston Road,Euston,529515.81,182463,16
Belgrove Street ,King's Cross,530253.76,182894.42,16
Northington Street ,Holborn,530937.29,182057.43,16
Hatton Wall,Holborn,531290.96,181999.47,16
Holborn Circus,Holborn,531325.83,181587.43,39
Red Lion Square,Holborn,530595.47,181733.86,16
Theobald's Road ,Holborn,530761.07,181867.36,26
Drury Lane,Covent Garden,530393.97,181209.62,16
Earnshaw Street ,Covent Garden,529948.48,181348.22,18
Gower Place ,Euston,529464.5,182349.44,17
Longford Street,Regent's Park,528846.41,182374.62,16
Drummond Street ,Euston,529451.5,182628.28,16
Endsleigh Gardens,Euston,529784.86,182536.83,32
Bedford Way,Bloomsbury,529941.38,182188.65,22
Russell Square Station,Bloomsbury,530237.34,182167.88,26
British Museum,Bloomsbury,530211.09,181684.46,16
Hatton Garden,Holborn,531366.95,181685.89,16
Ampton Street ,Clerkenwell,530630.49,182607.79,16
