TLRN Penalty charge notices by Contravention Code - based on Contravention Date,16 Parked in a permit space without displaying a valid permit,21 Parked in a suspended bay/space or part of bay/space,22 Re-parked in the same parking place before the expiry of the specified period,23 Parked in a parking place or area not designated for that class of vehicle,24 Not parked correctly within the markings of the bay or space,25 Parked in a loading place during restricted hours without loading,26 Vehicle parked more than 50 cm from the kerb and not within a designated parking place,27 Parked adjacent to a dropped footway,30 Parked for longer than permitted,31 Entering and stopping in a box junction when prohibited,32 Failing to drive in the direction shown by the arrow on a blue sign,33 Using a route restricted to certain vehicles (local buses only),34 Being in a bus lane during the hours of operation,35 Parked in a disc parking place without clearly displaying a valid disc,36 Parked in a disc parking place for longer than permitted,40 Parked in a designated disabled persons parking place without clearly displaying a valid disabled persons badge,41Parked in a parking place designated for diplomatic vehicles,42 Parked in a parking place designated for police vehicles,45 Parked on a taxi rank,46 Stopped where prohibited (on a red route or clearway),47 Parked on a restricted bus stop/stand,48 Stopped in a restricted area outside a school,49 Parked wholly or partly on a cycle track,50 Failed to comply with a sign indicating no left/right/U turn,52 Failing to comply with a signindicating a prohibition on certain types of vehicle (Goods vehicles exceeding max gross weight indicated),57 Parked in contravention of a coach ban,"61 A heavy commercial vehicle wholly or partly parked on a footway, verge or land between two carriageways",62 Parked with one or more wheels on any part of an urban road other than a carriageway (footway parking),63 Parked with engine running where prohibited,99 Stopped on a pedestrian crossing and/or crossing area marked by zig-zags,32D Failing to drive in the direction shown by the arrow on a blue sign,32T Failed to drive in the direction shown by the arrow on a blue sign (Turning in the wrong direction),50L Failing to comply with a sign indicating a no left turn,50R Failing to comply with a sign indicating a no right turn,52G Failing to comply with a signindicating a prohibition on certain types of vehicle (Goods vehicles exceeding max gross weight indicated),52S Failing to comply with a sign indicating a prohibition on certain types of vehicle (Solo motorcycles),65Z CODE USED FOR UNRECOGNISABLE CONTRA ON TFL RED ROUTES,Unknown,Grand Total
Jan 2006,17,5,33,37,72,"5,156",94,23,"1,648","3,823",0,160,"8,600",8,9,259,2,8,67,"22,845","1,875",20,10,3,0,1,5,459,2,163,0,0,0,0,0,0,15,7,"45,426"
Feb 2006,19,4,26,52,64,"5,240",69,26,"1,716","4,307",0,72,"8,057",5,7,284,1,3,148,"23,892","2,364",24,6,0,0,0,3,545,3,173,0,0,0,0,0,0,6,9,"47,125"
Mar 2006,5,3,42,63,79,"5,955",74,21,"1,595","3,485",0,8,"8,007",4,6,266,3,2,166,"23,980","2,155",19,7,0,0,5,6,479,3,222,0,0,0,0,0,0,5,10,"46,675"
Apr 2006,11,4,33,46,97,"5,576",72,21,"1,228","3,531",0,1,"9,593",4,7,245,0,3,78,"21,614","2,086",28,5,0,0,4,1,418,3,286,0,0,0,0,0,0,2,5,"45,002"
May 2006,12,3,29,48,102,"6,113",46,21,"1,539","3,687",0,1,"9,177",7,6,300,3,2,132,"21,307","2,302",25,3,0,0,2,4,499,4,248,0,0,0,0,0,0,5,10,"45,637"
Jun 2006,10,20,44,70,88,"7,897",132,30,"1,638","5,945",0,0,"10,109",15,7,296,5,4,151,"22,592","2,120",24,4,0,0,2,4,548,3,247,0,0,0,0,0,0,4,14,"52,023"
Jul 2006,4,1,0,5,21,"1,865",225,22,58,"4,274",0,0,"10,346",0,0,14,0,2,15,"33,278","1,182",1,37,34,9,0,5,575,0,251,0,0,0,0,0,0,0,0,"52,224"
Aug 2006,8,1,1,0,0,6,241,25,3,"7,193","4,030",0,"6,325",0,0,2,0,0,5,"41,562",6,0,50,21,108,0,11,565,0,293,0,0,0,0,0,0,3,0,"60,459"
Sep 2006,4,0,0,0,0,8,200,22,1,"5,850","5,394",0,"9,203",0,0,4,0,0,2,"36,693",12,0,44,734,178,0,3,524,0,245,0,0,0,0,0,0,5,0,"59,126"
Oct 2006,5,0,1,0,0,0,294,18,2,"4,946","3,566",2,"9,260",0,0,1,0,0,4,"45,539",12,0,62,"3,584",160,0,4,770,0,249,0,0,0,0,0,0,6,0,"68,485"
