Map 6.8,,,
"Employee jobs, by ward",,,
,,,Numbers
Ward,Code,Borough,Employees
,,,
Aldersgate,00AAFA,City of London,"8,385"
Bishopsgate,00AAFE,City of London,"78,713"
Cripplegate,00AAFQ,City of London,"23,856"
FarringdonWithin,00AAFS,City of London,"21,195"
FarringdonWithout,00AAFT,City of London,"64,759"
Portsoken,00AAFX,City of London,"14,641"
Queenhithe,00AAFY,City of London,"23,645"
Tower,00AAFZ,City of London,"38,259"
Walbrook,00AAGB,City of London,"33,675"
Abbey,00ABFX,Barking and Dagenham,"6,457"
Alibon,00ABFY,Barking and Dagenham,"1,435"
Becontree,00ABFZ,Barking and Dagenham,865
ChadwellHeath,00ABGA,Barking and Dagenham,"1,906"
Eastbrook,00ABGB,Barking and Dagenham,"3,900"
Eastbury,00ABGC,Barking and Dagenham,923
Gascoigne,00ABGD,Barking and Dagenham,"2,509"
Goresbrook,00ABGE,Barking and Dagenham,"1,267"
Heath,00ABGF,Barking and Dagenham,"2,757"
Longbridge,00ABGG,Barking and Dagenham,"1,353"
Mayesbrook,00ABGH,Barking and Dagenham,758
Parsloes,00ABGJ,Barking and Dagenham,620
River,00ABGK,Barking and Dagenham,"6,181"
Thames,00ABGL,Barking and Dagenham,"8,445"
Valence,00ABGM,Barking and Dagenham,"1,727"
Village,00ABGN,Barking and Dagenham,"1,114"
Whalebone,00ABGP,Barking and Dagenham,"2,502"
BrunswickPark,00ACFX,Barnet,"3,519"
BurntOak,00ACFY,Barnet,"3,241"
ChildsHill,00ACFZ,Barnet,"5,877"
Colindale,00ACGA,Barnet,"8,587"
Coppetts,00ACGB,Barnet,"2,959"
EastBarnet,00ACGC,Barnet,"3,851"
EastFinchley,00ACGD,Barnet,"3,181"
Edgware,00ACGE,Barnet,"6,417"
FinchleyChurchEnd,00ACGF,Barnet,"5,674"
GardenSuburb,00ACGG,Barnet,"4,683"
GoldersGreen,00ACGH,Barnet,"5,242"
Hale,00ACGJ,Barnet,"2,398"
Hendon,00ACGK,Barnet,"4,657"
