"Latitude","Longitude","Price"
51.41696,0.8118402,175000
51.27152,-1.077152,180000
50.80702,-0.5135321,275000
52.128,-0.5140083,177000
51.26085,-1.094693,147000
51.45133,0.2140139,177000
50.91519,0.7264683,275000
51.50565,-0.1388914,450000
51.77709,-0.2384058,362000
51.24258,-0.8305773,480000
51.77535,0.122438,110000
51.80255,0.7657724,172000
51.57204,-0.4205896,339995
51.45558,-0.9853203,125000
51.38568,-0.2019115,305000
50.85594,0.4652876,152000
51.35553,-0.2121979,188000
52.06332,-0.7890913,195000
51.66982,-0.2846242,150000
51.4393,-0.9144337,210650
51.77605,-1.235192,595000
51.89478,-1.139488,167000
50.91431,-1.001998,235000
51.30903,-0.7215306,589950
51.48724,-0.1355216,675000
52.32982,-0.06574654,425000
51.49256,0.3387242,167000
51.46809,-0.2755136,670000
51.62524,-0.09450209,273000
51.69974,-0.397712,275000
51.39218,-0.290932,215000
51.35483,-0.1904379,162000
51.50891,-0.3218587,397000
51.52403,0.2054294,270000
51.40862,0.01832838,199950
51.96714,0.567789,335000
51.19158,-0.4821168,1020000
51.57973,-0.1148806,865000
51.23907,0.09313242,1865000
51.12694,-0.2050322,153000
50.84497,-0.1482456,546000
51.29414,0.3987972,265000
51.36102,1.05342,200000
51.45881,0.1666402,365000
51.46905,-1.047893,227500
51.53592,-0.1116157,460000
51.62535,-0.7844458,187000
51.57251,0.005232297,300000
51.74124,-0.4579461,320000
51.56845,0.09145971,200000
51.32389,-0.1186874,304500
51.54061,0.0934709,244000
51.57765,0.5514699,275000
51.58824,0.1868832,462500
50.75562,0.269476,150000
51.52667,-0.09742384,1200000
51.42332,0.3517293,182000
51.45137,-0.9941924,170000
51.43036,-0.06169297,169950
51.42472,-0.7289347,164950
52.25556,-0.8889364,165000
51.66342,-0.3916049,339500
51.41179,-0.9467191,425000
51.30199,0.2259136,217000
52.04307,-0.7432567,175000
51.4654,-0.2415667,270000
51.56057,-0.1996526,1015000
51.36694,-0.1033044,250000
51.52071,-0.05503395,260000
51.5192,-0.1712029,700000
51.44254,-0.02979308,230000
51.3987,-0.005685473,580000
51.19717,0.2723873,164000
51.34362,0.7623835,100995
51.59834,0.1801052,221000
51.34155,-0.2785441,176000
50.90614,0.449689,200000
51.52596,-0.02009583,197000
51.76421,-0.2457908,179950
51.1381,0.2749603,325000
51.63392,-0.0001957619,195000
51.40541,-0.03662287,287000
51.44951,-0.1408732,820000
51.52522,0.5668185,114000
51.33576,-0.4177406,185000
51.33589,-0.7019781,311640
51.50153,0.09394139,215000
51.67117,-0.5732422,305000
51.13092,0.8528453,142994
51.3945,-0.7323306,195000
51.27723,-0.7487077,159950
51.35298,-0.4836109,168500
51.41302,-0.2633069,1100000
51.55726,-0.1486147,446587
50.8279,-0.1801748,269960
51.52616,-0.09727194,690000
51.56267,0.1810824,206000
51.52407,-0.3412805,182000
51.3664,-0.8529816,342950
51.87842,-0.5135484,157500
51.5605,-0.1004844,699999
51.55815,-0.2025468,1645000
50.80247,0.2804034,132000
51.19472,0.2770757,157462
52.12557,-0.2073257,200000
51.4995,0.08397895,205000
51.41415,-0.30701,403750
51.17531,-0.6150792,648000
52.05503,-0.7757517,162000
51.53371,-0.101124,650000
51.27315,1.085473,590000
51.50752,-0.6175242,220000
52.33179,-0.03011316,280000
50.80314,-0.045004,250000
51.17298,-0.645132,355000
52.22747,-0.2752487,120000
51.13054,0.7641243,661000
51.80431,-0.7427125,320000
51.42112,-0.9589737,165000
51.44226,-0.1449376,346000
51.20465,0.06054893,240000
50.77605,0.2889621,102000
52.08514,-0.7435202,200000
51.40637,0.05897884,1225000
51.44033,-0.1223531,650000
51.82844,-0.3438515,250000
51.37632,0.5457884,110000
51.88488,-0.5118096,175000
52.27699,-0.6011993,188000
51.51657,-0.2800536,480000
51.44605,-0.9971441,305000
51.54823,0.6672982,250000
52.31378,0.3821352,370000
51.83076,0.4569094,330000
51.19232,-0.6189627,420000
52.31371,-0.08242572,430000
51.54943,0.6602857,265000
51.25337,-0.5397961,261500
51.52445,-0.6594489,245000
50.85982,0.529142,144000
51.57377,0.1813973,153000
51.45557,-0.2199797,520000
51.78374,0.130444,157000
51.49101,-0.07060249,235000
52.0429,-0.7147267,249950
51.7686,0.1137733,163000
51.18084,0.3922088,118000
52.22462,0.520405,495000
51.5247,-0.09955303,631000
51.61941,0.6204431,250000
51.13885,-0.8736517,328000
52.24551,-0.9032633,120000
51.41349,0.5123731,228000
51.45138,-0.09947608,1625000
51.38547,0.06353078,248000
51.50225,-0.02537448,368000
51.57983,0.02913883,265000
51.10564,-0.1639316,170000
51.78413,0.923572,155000
52.08877,-0.240447,250000
51.44686,-0.3411728,545000
52.22594,-0.2667426,151700
51.46032,0.1021029,265000
51.49043,-0.2990289,307000
51.66023,-0.07833015,258000
51.72155,-0.1831162,835000
51.51904,-0.09614183,558000
51.38308,-0.2725458,274950
51.40709,-0.03754308,307500
52.00214,-0.2479692,175000
51.49706,-0.05294336,190492
51.47515,-0.01971936,450002
51.41669,-0.1894773,530000
51.83855,0.702678,900000
51.47553,-0.1154502,246550
51.35222,-0.4933154,307000
51.94465,0.6342134,100000
51.49309,-0.03542214,310000
51.60193,-1.56228,209000
52.28196,0.3228522,305000
51.41086,-0.03167286,245000
51.27824,-1.118509,158000
51.4075,-0.1266889,197000
50.77637,0.2682533,164950
51.5127,-0.02065659,287705
51.11433,-1.03827,270000
51.89601,-1.138927,245000
52.1293,-0.2920595,595000
51.73192,-0.8306059,245000
51.38516,0.0626111,227450
51.0594,-1.337465,199995
51.58974,-0.07873646,182500
51.78877,-0.0844567,200000
51.29682,0.9497328,305000
51.60808,0.3090703,100000
52.22263,-0.2916141,135000
50.81051,-0.4123314,340000
51.57126,-0.0140009,155000
51.3638,-0.5069837,610000
51.56334,-0.2973051,218000
51.30738,0.4042659,170000
52.34816,-0.1108285,136000
51.66583,-0.2670759,310000
51.4293,-0.2019402,1450000
51.56733,0.1953601,175000
51.50748,-0.2308401,350000
51.48857,0.06511434,280000
51.4018,-0.3748636,170000
51.48786,-0.8649882,430000
52.22294,-0.8410591,197000
51.3644,-0.1434601,250000
51.54326,-1.037059,885000
51.61631,0.3310552,250000
51.32619,-0.2210465,298000
51.43794,-0.9548795,207000
52.3353,-0.09041607,392000
52.08877,-0.240447,265000
52.19335,-0.8827191,310000
51.9066,0.8766187,325000
51.58158,-0.1174887,125000
51.53427,-0.009800792,210500
51.40921,0.02202128,220000
51.53408,0.7609974,430000
51.43387,0.1179086,480000
51.44411,0.3761979,212000
51.84559,0.6275815,137500
50.84179,-0.2455549,154950
51.66527,-0.08375629,247500
51.42445,-0.3185248,579200
50.85052,0.5275736,135000
51.54944,-0.190068,620000
51.54042,0.7978852,237500
52.29536,-0.8046958,500000
50.85864,-0.1479171,297500
51.40459,0.2375216,250000
51.17582,-0.1668393,215000
51.58874,0.1644874,220000
51.42537,0.1369211,250000
51.08616,-0.7430469,155000
51.64969,-0.4051001,175000
51.61415,0.4315982,120000
51.61451,-0.54918,690000
51.43235,-0.0539121,220000
51.63321,0.3276877,560000
51.40916,0.02158785,220000
52.20952,-0.02115327,186000
50.85643,-0.7730866,305000
50.83664,-0.7587223,119000
51.61933,-0.7228266,148500
52.26475,-0.8337123,94000
51.52076,-0.4011326,230000
51.56536,0.2283082,310000
51.70218,-0.9039443,240000
51.56982,-0.02922988,200000
51.36534,-0.1807577,206000
51.28902,0.163141,377500
51.64135,-0.09894287,340000
51.21781,-0.3334955,499995
51.65399,-0.7073393,650000
51.62603,0.3517386,775000
51.88157,0.5687787,191000
51.49565,-0.1289263,650000
51.64268,-0.1165346,387500
50.82912,-0.4171952,185500
51.00355,-0.9347385,100000
51.241,0.02168487,580000
51.57109,-0.1153681,272500
51.75494,-0.302337,355000
51.4478,-0.05003161,650000
51.34871,-0.7824452,220000
51.45447,-0.3222435,470000
52.29009,-0.3166882,295000
51.39603,0.1101944,190000
51.52389,-0.3836096,210000
50.84296,-0.1854409,445000
51.79658,-0.8154335,162000
51.60797,-1.422554,216000
51.64499,-0.1237092,485000
51.60755,0.5075491,185000
51.00614,-0.9355342,500000
51.5791,-0.7026097,310000
51.60713,0.5199755,168000
52.01039,-0.4971733,250000
51.17552,-0.1488968,325000
